DecoratedInCountry,NoDecorationOffered,ComplianceList,NewPictureFile,Cat2Name,ImprintSize2Units,Prc2,PiecesPerUnit6,PiecesPerUnit3,AddClrChgCode,Hazardous,ShipPointZip,UpdateInventory,CatYear,PlateChgCode,AssembledInCountry,SecondImprintSize1Units,ProdTimeLo,SecondImprintSize2,IsFood,SecondImprintSize1,Prc3,IsEnvironmentallyFriendly,Prc1,DieChgCode,Prc6,Prc5,Prc4,ComplianceMemo,RepeatChg,RushProdTimeHi,Themes,Dimension3Units,QuoteUponRequest,last_updated,SetupChg,SetupChgCode,Dimension1Type,Cat1Name,RushProdTimeLo,Qty2,PrCode,UnitsPerCarton,AddClrRunChgCode,SecondImprintSize2Units,PriceIncludeSide,ProdTimeHi,PlateChg,InventoryOnHandAdd,Dimension1Units,InventoryOnHand,ScreenChg,OfficiallyLicensed,DieChg,Comment,ImprintSize1,ImprintSize2,SecondImprintLoc,Packaging,ToolingChg,SecondImprintSize1Type,Dimension3Type,ProductID,PiecesPerUnit2,DecorationMethod,PiecesPerUnit1,ErasePicture,PiecesPerUnit4,PiecesPerUnit5,MadeInCountry,NotPictured,SecondImprintSize2Type,ImprintSize1Units,WeightPerCarton,Dimension2Units,ExpirationDate,ScreenChgCode,Dimension2Type,Dimension2,Dimension3,IsClothing,Dimension1,CartonH,CartonL,Discontinued,NewPictureURL,NotSuitable,RepeatChgCode,Qty1,Colors,Qty3,Qty4,Qty5,Qty6,Keywords,ShipPointCountry,ToolingChgCode,NewBlankPictureFile,PriceIncludeClr,NewBlankPictureURL,EraseBlankPicture,Description,CartonW,AddClrRunChg1,AddClrRunChg2,AddClrRunChg3,AddClrRunChg4,AddClrRunChg5,AddClrRunChg6,ImprintSize2Type,AddClrChg,Name,ImprintLoc,InventoryMemo,ItemNum,IsRecyclable,Exclusive,ImprintSize1Type,PriceIncludeLoc,NoDecoration,IsNewProd,Verified,Page2,Page1
,,,,,,5.29,,,,,,,,,,,,,,,5.19,,5.39,,0,0,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,,,,Screen Print,,,,,,,,,,,,,,18, ,,16,,,,,,,,"Black, Blue, Red",,,,,,,,,,,,"210D PU Polyester Construction, Two Tone Design, 1 Outside mesh Pocket, 1 Outside Zippered Pocket, Drawstring Main Compartment, Unique Adjustable Shoulder Straps",,,,,,,,,,Sport Drawstring Backpack,6W x 4 H,,31004,,,,,,,,,
,,,,,,2.19,,,,,,,,,,,,,,,2.09,,2.39,,0,0,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,10.00,,,,,,,,Screen Print,,,,,,,,,,,,,,16.5, ,,14,,,,,,,,"Army Green, Black, Burgundy, Camo1, Camo2, Carolina Blue, Forest Green, Lime Green, Navy Blue, Orange, Pink, Purple, Red, Royal Blue, White, Yellow",,,,,,,,,,,,"Classic Polyester Drawstring Backpack, 24” Long Black Rope Strings, Hand Wash Only, Available in Different Colors",,,,,,,,,,Classic Polyester Drawstring Backpacks,9.00W x 10.00H,,31410,,,,,,,,,
,,,,,,2.79,,,,,,,,,,,,,,,2.69,,2.89,,0,0,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,Screen Print,,,,,,,,,,,,,,6, ,,8,,,,,,,,"Red Body, American Flag top and blue front pocket",,,,,,,,,,,,"6 Pak / Lunch Pak, Front Pocket, 22” Carry Strap, Zipper closure, Grey PEVA Lining",,,,,,,,,,Patriot 6 Pak Cooler,4 W x 2  H,,38035,,,,,,,,,
,,,,,,2.49,,,,,,,,,,,,,,,2.39,,2.59,,0,0,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,,,,Screen Print,,,,,,,,,,,,,,18, ,,14,,,,,,,,"Black, Blue, Grey, Lime Green, Red",,,,,,,,,,,,"Drawstring Closure, Zippered Front Pocket, Side Mesh Accents",,,,,,,,,,Drawstring Back Pak with Mesh Accents,8 W x 5 H,,34168,,,,,,,,,
,,,,,,2.35,,,,,,,,,,,,,,,2.25,,2.45,,0,0,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,Screen Print,,,,,,,,,,,,,,10, ,,6,,,,,,,,"Black, Royal Blue, Lime, Orange, Red, Yellow, White",,,,,,,,,,,,"Reinforced Strap 11” x 1”, Front Flat Pocket 6” W x 5H”, Velcro Closure, PEVA Lining",,,,,,,,,,Lunch Pak Cooler,4 W x 3 H,,38002,,,,,,,,,
,,,,,,2.69,,,,,,,,,,,,,,,2.59,,2.89,,0,0,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.75,,,,,,,,Silk Screen,,,,,,,,,,,,,,6, ,,8,,,,,,,,"Black, Blue, Grey, Lime Green, Red, Yellow,Orange",,,,,,,,,,,,"Front Pocket, 22″ Carry Strap, Zipper Closure, Lead Free Peva Lining, Water proof, lead free",,,,,,,,,,6 Pak Basic Cooler,4 W x 2.75 H,,38006,,,,,,,,,
,,,,,,2.89,,,,,,,,,,,,,,,2.79,,2.99,,0,0,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,,,,Screen Print,,,,,,,,,,,,,,18, ,,13,,,,,,,,"Black, Blue, Forest Green, Lime Green, Navy Blue, Orange, Red, Yellow,",,,,,,,,,,,,"Drawstring Closure, Zippered Front Pocket, Ear Bud Slot, Reinforced eyelets",,,,,,,,,,Drawstring Back Pak with pocket,8 W x 5 H,,31414,,,,,,,,,
,,,,,,2.19,,,,,,,,,,,,,,,2.09,,2.39,,0,0,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,Screen Print,,,,,,,,,,,,,,18, ,,14,,,,,,,,"Aqua, Black, Blue, Burgundy, Camo1, Camo2, Forest Green, Fuchsia, Kelly Green, Lime Green, Navy Blue, Neon Green, Orange, Pink, Purple, Red, White, Yellow",,,,,,,,,,,,"Drawstring Closure, 210 D Polyester construction, Reinforced corners, Great Color  Selection",,,,,,,,,,BV Drawstring Back Pak,9 W x 9 H,,31413,,,,,,,,,
,,,,,,2.79,,,,,,,,,,,,,,,2.69,,2.89,,0,0,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,Screen Print,,,,,,,,,,,,,,18, ,,14,,,,,,,,Black Pocket and Back,,,,,,,,,,,,"Drawstring Closure, Front Zippered pocket, Black mesh accent on sides",,,,,,,,,,2 Tone Zipper Drawstring Back Pak,4 W x 4 H,,31072,,,,,,,,,
,,,,,,2.69,,,,,,,,,,,,,,,2.59,,2.89,,0,0,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,,Screen Print,,,,,,,,,,,,,,17, ,,14,,,,,,,,All Bags have a front black imprint pocket.,,,,,,,,,,,,"Drawstring Closure, Zippered Front Pocket, Ear Bud Slot, Reinforced eyelets",,,,,,,,,, Drawstring Back Pak with pockets,4  W x 6 H,,31042,,,,,,,,,
